contract,paths,time
807,1,0.217642
808,1,0.753149
809,1,0.084210
810,1,0.219324
811,1,0.429858
812,1,0.001711
813,1,0.084339
814,1,0.213618
815,1,0.221527
816,1,0.221518
817,1,0.096718
818,1,0.218895
819,1,0.223049
820,1,0.218003
821,1,0.214032
822,1,0.212441
823,1,0.211035
824,1,0.224285
825,1,0.082184
826,1,0.211780
827,1,0.084862
828,1,0.215522
829,1,0.090546
830,1,0.213948
831,1,0.214227
832,1,0.208833
833,1,0.089405
834,1,0.217403
835,1,0.200724
836,1,32.506664
837,1,0.085759
838,1,0.088678
839,1,0.211952
840,1,0.218711
841,1,0.216153
842,1,0.214311
843,1,0.214205
844,1,0.097052
845,1,0.204425
846,1,0.211909
847,1,0.213904
