txid worth
0x3970430ae636df468f4af94bcf57f85c4993cfc1325d6d528e2e9d4961970cb6 10000000000000000000.000000
0xd7aa4d5eadc62b40d60205e313df7fec577cc1950e78121f175c032e7f034681 10000000000000000000.000000
0xccc8f5fbc04463ce6695bd3e67c8bd745a641edea524fbb37b5281987470b890 10000000000000000000.000000
0x26f143386a870d41499143caa9df0ca90a30a767c844401818e719381a781703 10000000000000000000.000000
0xa06bdd9bf7da71984d4f0641b7eda123901ff8f030915a0d0d4f1ef8bfb3d8d0 10000000000000000000.000000
0xc8686080fe3be759658f150996907de30a366d91d072a844fe851279a3b0d8d7 10000000000000000000.000000
0x46028e757d5e366274c200b634606f01dc1f521a009f8b93cdfe6fb61e9fb96d 10000000000000000000.000000
0xe84ed6a90269b065c5bbeafe4ae6dd3a8688aac88c7839a07fd42c54e530bb32 10000000000000000000.000000
0x7a3d485499b156bf15afe383ecb79ddd951df22c94ecb4be23f136d6f036a64e 10000000000000000000.000000
0xcb6a1220206e4bed8cd2543f4e183711cf8604a647e4b6578e50a79d52b0d154 10000000000000000000.000000
0x074752b046a05ed460a1325935998988c2ffd319346a0778bd37a0ee6b705a98 10000000000000000000.000000
0xdd555385beb17e5d8be1425e00414d4c5c0945d41b3a563366da91e005bfaf8d 10000000000000000000.000000
0xac0d7e451e7f9db6fb51473a6f887bb5414b4ff09546b404d8b5f44a71f7c93e 10000000000000000000.000000
0xac0d7e451e7f9db6fb51473a6f887bb5414b4ff09546b404d8b5f44a71f7c93e 10000000000000000000.000000
0x4ad402fc4e1db5e5ad61ddaa564c70e4b70cf908665ed11d6310cd80295c64bf 10000000000000000000.000000
0x4ad402fc4e1db5e5ad61ddaa564c70e4b70cf908665ed11d6310cd80295c64bf 10000000000000000000.000000
0x4ad402fc4e1db5e5ad61ddaa564c70e4b70cf908665ed11d6310cd80295c64bf 10000000000000000000.000000
0x4ad402fc4e1db5e5ad61ddaa564c70e4b70cf908665ed11d6310cd80295c64bf 10000000000000000000.000000
0x43812b774d9cfb36143a8feae5d28ebdd272becdb875470ad00df3dbc987338f 10000000000000000000.000000
0xf834b8b3906b2f596482ec15ef31ed58aa609419301de65e05561aa344d1450f 9000000000000000000.000000
0x869edcc0f8bbbe0c9462cdec9fe86bd0c04e2af8749a085f59817f9c27cb1a84 8000000000000000000.000000
0x0e5268780c77a15d5ae37cef72238663026943d310454f0b109ce9dfd6f7365c 5000000000000000000.000000
0x74d9dc52217ab9ee1212bcf7e43bc33850458894553667765ef5e55624bbfa73 3000000000000000000.000000
0x7e9b87c8f276b7375b7f698fdda0158d5a7f5be44cd44e4427880a2a80e376af 3000000000000000000.000000
