Frequency, Chain
15, POP POP POP SWAP3 SWAP4 POP POP LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
15, POP POP POP SWAP3 SWAP4 POP POP POP POP JUMPDEST
15, SWAP1 JUMPDEST POP DUP1 POP SWAP1
15, POP POP POP POP POP SWAP5 SWAP6 JUMPDEST POP POP POP POP POP POP LOG1 SWAP1 ADD
15, POP POP SWAP2 SWAP3 POP POP POP POP POP POP JUMPDEST JUMPDEST
15, POP POP POP POP SWAP4 SWAP5 JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
15, POP POP SWAP2 SWAP3 JUMPDEST AND
15, POP POP SWAP2 SWAP3 POP POP POP POP POP POP POP JUMPDEST POP SWAP8
15, POP SWAP1 SWAP2 POP POP POP POP JUMPDEST
15, POP POP POP POP POP POP POP POP SWAP8 SWAP9 SWAP4 POP JUMPDEST
15, POP POP POP SWAP3 SWAP4 JUMPDEST POP POP POP POP SWAP4 MLOAD MLOAD
15, POP POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP SWAP1 SWAP2 ADD
15, POP SWAP1 SWAP2 JUMPDEST GT SLOAD SHA3 DUP2
14, POP POP POP SWAP3 SWAP4 POP POP POP POP POP POP JUMPDEST POP SWAP7
14, POP POP POP POP POP POP POP SSTORE SWAP1 DUP2 POP
14, POP POP SWAP2 SWAP3 LOG3 SWAP1
14, POP POP POP POP SSTORE SWAP1 OR SWAP2 SWAP1 SWAP2 AND SWAP3 SWAP1 NOT
14, POP POP POP POP POP JUMPDEST POP POP POP POP JUMPDEST
14, POP JUMPDEST LOG1 SWAP1 ADD
14, POP SWAP1 SWAP2 JUMPDEST POP POP JUMPDEST POP SWAP3
14, SWAP5 SWAP4 SWAP3 SWAP2 SWAP1 JUMPDEST POP ADD
14, POP POP POP POP JUMPDEST LOG1 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP2 SWAP3
14, POP POP POP POP POP JUMPDEST POP POP POP
14, SWAP1 POP POP POP POP POP POP POP JUMPDEST POP JUMPDEST
14, POP POP SWAP2 SWAP3 POP POP POP POP JUMPDEST POP SWAP5 NOT
14, POP POP JUMPDEST SSTORE SWAP1 ADD DUP3 SLOAD DUP1 SHA3 SWAP1
14, POP POP POP POP POP SWAP5 SWAP6 POP POP POP POP POP POP POP JUMPDEST POP SWAP8
14, SWAP1 ADD
14, POP SWAP1 SWAP2 POP POP JUMPDEST POP SWAP3
14, POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 BALANCE AND ADDRESS SWAP2
14, POP POP POP POP POP POP SWAP6 SWAP7 SWAP1 POP JUMPDEST
14, POP POP POP JUMPDEST POP LOG1 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP2 SWAP3
13, POP POP POP SWAP3 SWAP4 LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
13, JUMPDEST LOG1 SWAP1 ADD SWAP2 SWAP1 SUB SWAP1 DUP2 SWAP2 SWAP3
13, POP POP POP POP JUMPDEST SSTORE SWAP1 OR
13, POP SWAP3 SWAP1 SWAP4 SWAP2 POP JUMPDEST
13, POP POP POP SWAP3 SWAP4 JUMPDEST JUMPDEST
13, POP POP POP POP SWAP4 SWAP5 POP POP POP POP
13, JUMPDEST JUMPDEST JUMPDEST SUICIDE AND
13, JUMPDEST POP SSTORE POP SWAP1 SWAP2 ADD
13, JUMPDEST POP POP POP POP POP CALL DUP4 DUP9 DUP6 DUP2 DUP2 DUP2 DUP3 SWAP1 BALANCE AND ADDRESS SWAP2
13, POP POP POP POP POP POP POP POP POP JUMPDEST
13, POP POP POP POP JUMPDEST JUMPDEST LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
13, POP POP POP SWAP3 SWAP4 POP POP POP POP POP POP POP POP JUMPDEST POP SWAP9
13, POP POP POP POP JUMPDEST SSTORE ADD SHA3 SWAP2 SWAP1
13, POP POP POP JUMPDEST SSTORE
13, SWAP1 DIV TIMESTAMP
13, POP POP POP POP POP POP POP SWAP7 SWAP8 SWAP4 POP JUMPDEST SWAP2 ADD DUP3 AND
13, POP SWAP1 SWAP2 POP POP POP JUMPDEST SSTORE SWAP1 OR DUP3 SLOAD DUP1 ADD DUP3
13, POP SWAP1 SWAP2 SLOAD ADD SHA3 SWAP1
13, SWAP1 POP POP POP
13, POP SSTORE SWAP1 OR ADD AND SWAP3 AND DUP2 NOT
13, POP POP POP JUMPDEST JUMPDEST LOG3 SWAP1 SUB SWAP2 DUP1 MLOAD
13, POP POP POP POP POP POP SWAP6 SWAP3 POP SWAP8 SWAP4 SWAP9 AND SWAP5 SWAP1 SWAP5
13, SSTORE SWAP1 OR SWAP2 SWAP1 AND NOT SUB EXP
13, POP SWAP1 SWAP2 JUMPDEST POP POP SWAP2 SLOAD SHA3 SWAP2 SWAP1 ADD
13, POP POP JUMPDEST POP POP POP POP JUMPDEST
12, POP POP POP JUMPDEST POP SSTORE SWAP1 DUP2 POP POP SWAP3 ADD SLOAD POP DUP3 DUP3 DUP3
12, POP JUMPDEST LOG2 SWAP1 SUB SWAP2 DUP1 MLOAD
12, POP POP SWAP2 SWAP3
12, POP POP POP POP LOG2 SWAP1
12, POP SWAP1 SWAP2 ISZERO GT SWAP2 SWAP1 JUMPDEST RETURN SWAP1 ADD
12, POP POP POP POP POP POP POP POP POP POP POP POP POP POP POP POP SSTORE SWAP1 OR MUL DUP4 SWAP1 AND NOT MUL
12, POP LOG3 SWAP1 SWAP2
12, POP JUMPDEST JUMPDEST LOG1 SWAP1 SUB SWAP2 DUP1 MLOAD
12, DUP4 AND
12, POP POP SWAP2 SWAP3 POP POP POP JUMPDEST POP SWAP4 MLOAD DUP2 JUMPDEST STOP JUMPDEST RETURN SWAP1 ADD
12, POP POP SWAP2 SWAP3 POP POP POP POP POP POP JUMPDEST
12, SSTORE SWAP1 OR TIMESTAMP AND NOT
12, POP POP POP SWAP3 SWAP4 POP JUMPDEST JUMPDEST
